Index,CPU Frequencies,GPU Frequencies,Mem Frequencies,Initialization Time,Allocation Time,Copy To Device Time,Kernel Time,Copy Back and Merge Time,Deallocation Time,Real Time,User Time,System Time,Starttime,Endtime,ActivePower,IdlePower
485,1000000.0,350000000.0,633000000.0,1656.0870000000002,8.72,932.8580000000001,2631.698,528.072,19.596,10982.0,4570.0,2409.0,10423910.0,10434915.0,4.517,2.847
486,1000000.0,350000000.0,728000000.0,1629.5520000000001,8.335,924.3430000000001,2563.794,514.563,18.9,10756.0,4427.0,2349.0,10435117.0,10445894.0,4.658,2.852
487,1000000.0,350000000.0,825000000.0,1608.736,8.07,907.1339999999999,2575.185,501.306,18.361,10517.0,4415.0,2211.0,10446092.0,10456628.0,4.707,2.899
488,1000000.0,266000000.0,165000000.0,2320.032,17.057000000000002,1451.6760000000002,8313.69,958.112,33.373000000000005,25500.0,7154.0,3976.0,10456923.0,10482473.0,3.427,2.603
489,1000000.0,266000000.0,206000000.0,2141.692,14.706,1280.7160000000001,6169.906,826.931,29.194000000000003,20391.0,6283.0,3683.0,10482893.0,10503326.0,3.46,2.605
490,1000000.0,266000000.0,275000000.0,1963.6779999999999,12.4,1153.315,4739.748,718.834,25.653000000000002,16379.000000000002,5787.0,3039.0,10503682.0,10520096.0,3.602,2.629
491,1000000.0,266000000.0,413000000.0,1784.165,10.252,1011.375,3432.903,582.313,22.058000000000003,13099.0,4992.0,2663.0,10520387.0,10533514.0,3.893,2.661
492,1000000.0,266000000.0,543000000.0,1699.5710000000001,9.218,961.525,3184.5359999999996,546.559,20.394000000000002,12346.0,4735.0,2460.0,10533752.0,10546121.0,3.935,2.721
493,1000000.0,266000000.0,633000000.0,1659.6529999999998,8.89,931.673,3185.817,529.368,19.416,12130.0,4541.0,2415.0,10546339.0,10558491.0,4.064,2.754
494,1000000.0,266000000.0,728000000.0,1626.9820000000002,8.377,918.6139999999999,3093.062,512.033,19.21,11843.0,4498.0,2262.0,10558694.0,10570558.0,4.165,2.811
495,1000000.0,266000000.0,825000000.0,1609.931,8.09,919.86,3109.755,503.92900000000003,18.475,11842.0,4452.0,2201.0,10570763.0,10582625.0,4.345,2.883
496,1000000.0,177000000.0,165000000.0,2320.562,17.188,1424.026,7956.585,948.955,33.632,24625.0,7144.0,3992.0,10582925.0,10607602.0,3.265,2.545
497,1000000.0,177000000.0,206000000.0,2143.054,14.905999999999999,1286.756,6261.126,826.11,29.343000000000004,20465.0,6446.0,3540.0,10608023.0,10628531.0,3.313,2.581
498,1000000.0,177000000.0,275000000.0,1964.16,12.446,1167.412,5052.567,705.128,25.706999999999997,16977.0,5773.0,3036.0,10628889.0,10645900.0,3.297,2.581
499,1000000.0,177000000.0,413000000.0,1782.8470000000002,10.306,1036.0410000000002,4423.387,608.29,21.833000000000002,15251.0,5057.0,2612.0,10646193.0,10661470.0,3.468,2.651
