,CPU Frequencies,GPU Frequencies,Mem Frequencies,Initialization Time,Allocation Time,Copy To Device Time,Kernel Time,Copy Back and Merge Time,Deallocation Time,Real Time,User Time,System Time,Starttime,Endtime
516,806400.0,854250000.0,1866000000.0,1210.916504,3.751904,180.243896,528.065552,145.937424,2.10624,3451.0,2256.0,428.0,6222643.0,6226161.0
517,806400.0,930750000.0,40800000.0,1336.907715,34.209278,1576.179321,13442.515625,1299.804321,26.753696,35827.0,5712.0,3436.0,6226394.0,6263647.0
518,806400.0,930750000.0,68000000.0,1307.004517,25.771488,508.530853,7138.81543,774.606323,18.95376,19167.0,3844.0,1744.0,6265771.0,6285721.0
519,806400.0,930750000.0,102000000.0,1230.250488,16.692896,337.775299,4591.650391,488.664642,11.638688,13217.0,3056.0,1296.0,6286933.0,6300671.0
520,806400.0,930750000.0,204000000.0,1223.544067,8.04688,245.821289,2296.68042,346.280243,6.892672,7745.0,2636.0,844.0,6301500.0,6309415.0
521,806400.0,930750000.0,408000000.0,1187.611206,5.58016,204.714783,1313.155518,258.437836,3.63216,5292.0,2368.0,648.0,6309867.0,6315255.0
522,806400.0,930750000.0,665600000.0,1324.558228,4.38256,193.91925,886.219727,167.917572,3.49184,4333.0,2408.0,496.0,6315550.0,6319964.0
523,806400.0,930750000.0,800000000.0,1261.507568,4.530976,189.03421,778.21344,155.015778,2.5048,4098.0,2296.0,508.0,6320205.0,6324379.0
524,806400.0,930750000.0,1062400000.0,1173.534058,4.350176,188.771683,667.731812,152.168961,2.934784,3727.0,2248.0,436.0,6324612.0,6328411.0
525,806400.0,930750000.0,1331200000.0,1167.369751,3.69104,188.260635,603.816956,153.736023,2.296096,3567.0,2204.0,460.0,6328632.0,6332267.0
526,806400.0,930750000.0,1600000000.0,1168.655151,3.787776,184.392014,537.214478,150.49733,2.271104,3446.0,2156.0,496.0,6332483.0,6335996.0
527,806400.0,930750000.0,1866000000.0,1166.674805,3.795392,181.364243,517.329834,147.687866,2.059744,3413.0,2204.0,440.0,6336206.0,6339683.0
