,CPU Frequencies,GPU Frequencies,Mem Frequencies,Initialization Time,Allocation Time,Copy To Device Time,Kernel Time,Copy Back and Merge Time,Deallocation Time,Real Time,User Time,System Time,Starttime,Endtime
126,345600.0,1236750000.0,665600000.0,4.73632,660.701538,9.5488,163.61647,0.884352,2.78752,10108.0,23468.0,288.0,1616926.0,1627192.0
127,345600.0,1236750000.0,800000000.0,4.800608,665.01886,9.398528,164.190613,0.4752,2.60288,10155.0,23496.0,288.0,1627678.0,1637986.0
128,345600.0,1236750000.0,1062400000.0,3.959648,663.425659,8.962816,166.499084,0.437536,2.602816,10258.0,23392.0,364.0,1638461.0,1648867.0
129,345600.0,1236750000.0,1331200000.0,3.990496,658.04071,8.389184,164.458023,0.809568,1.231808,10133.0,23368.0,284.0,1649330.0,1659606.0
130,345600.0,1236750000.0,1600000000.0,3.564544,668.506958,8.46384,163.02681,0.43264,2.56224,10069.0,23356.0,300.0,1660072.0,1670282.0
131,345600.0,1236750000.0,1866000000.0,3.846592,620.738281,9.058784,162.209259,0.424,2.538592,9993.0,23344.0,328.0,1670733.0,1680868.0
132,345600.0,1300500000.0,40800000.0,52.222366,900.427917,318.028442,343.29953,31.337408,32.702049,23299.0,33952.0,2868.0,1681358.0,1706220.0
133,345600.0,1300500000.0,68000000.0,26.21488,729.808411,58.172256,199.013,2.28736,10.382048,12904.0,25480.0,1168.0,1709396.0,1722864.0
134,345600.0,1300500000.0,102000000.0,14.808672,661.28125,34.568703,184.087463,1.733344,7.526656,11619.0,24608.0,724.0,1724296.0,1736284.0
135,345600.0,1300500000.0,204000000.0,8.381376,686.510315,18.082815,169.995041,0.93824,4.45008,10603.0,23792.0,436.0,1737227.0,1748052.0
136,345600.0,1300500000.0,408000000.0,6.193312,631.26947,11.925312,165.406677,0.55968,3.292384,10215.0,23508.0,348.0,1748710.0,1759102.0
137,345600.0,1300500000.0,665600000.0,5.050752,670.525024,9.72736,164.036972,0.472992,2.71392,10222.0,23432.0,424.0,1759634.0,1770011.0
138,345600.0,1300500000.0,800000000.0,4.515584,669.812073,9.400192,164.72998,0.4888,2.8432,10177.0,23412.0,340.0,1770497.0,1780825.0
139,345600.0,1300500000.0,1062400000.0,4.314016,669.040771,10.141184,165.240646,0.456416,2.684832,10188.0,23340.0,332.0,1781299.0,1791635.0
140,345600.0,1300500000.0,1331200000.0,4.144704,625.414612,9.091008,162.831726,0.433024,2.5752,10014.0,23276.0,308.0,1792109.0,1802268.0
141,345600.0,1300500000.0,1600000000.0,3.772224,668.009705,8.532864,163.947342,0.79888,2.766464,10120.0,23380.0,296.0,1802785.0,1813047.0
142,345600.0,1300500000.0,1866000000.0,3.813376,625.003723,8.954208,163.555389,0.420704,2.526368,10068.0,23368.0,272.0,1813510.0,1823720.0
143,499200.0,114750000.0,40800000.0,72.916832,662.833374,311.720856,265.298737,9.083424,24.131071,19078.0,30496.0,2844.0,1824098.0,1844662.0
144,499200.0,114750000.0,68000000.0,23.923361,512.391724,59.892384,155.229019,1.793088,11.34928,10384.0,18500.0,964.0,1847360.0,1858312.0
145,499200.0,114750000.0,102000000.0,15.16656,486.89447,34.396481,134.585739,1.471424,7.375968,8611.0,17232.0,696.0,1859640.0,1868582.0
146,499200.0,114750000.0,204000000.0,7.925216,468.005035,19.524672,120.963173,2.283424,4.790944,7632.0,16616.0,436.0,1869495.0,1877311.0
147,499200.0,114750000.0,408000000.0,5.340192,466.521912,10.16352,117.270447,0.602016,4.83392,7296.0,16356.000000000002,292.0,1877828.0,1885259.0
148,499200.0,114750000.0,665600000.0,4.702272,456.381195,7.85536,115.418991,0.445536,2.343072,7149.0,16116.0,268.0,1885664.0,1892929.0
149,499200.0,114750000.0,800000000.0,3.353632,462.502808,7.843968,114.668533,0.429184,2.932928,7123.0,16152.000000000002,272.0,1893283.0,1900518.0
150,499200.0,114750000.0,1062400000.0,4.162304,431.895477,6.758752,115.829666,0.422784,2.905184,7146.0,16064.0,292.0,1900870.0,1908126.0
151,499200.0,114750000.0,1331200000.0,3.846752,428.397247,7.174752,114.351883,0.395776,2.854304,7077.0,16076.0,244.0,1908466.0,1915646.0
152,499200.0,114750000.0,1600000000.0,3.702368,427.894592,7.130208,113.33744,1.172032,2.78976,6999.0,16128.0,200.0,1915974.0,1923074.0
153,499200.0,114750000.0,1866000000.0,3.765376,459.853821,7.356576,114.366898,0.396384,2.851488,7075.0,16104.0,212.0,1923395.0,1930573.0
154,499200.0,216750000.0,40800000.0,49.21088,650.764954,373.237396,272.729614,57.000511,22.794016,19422.0,30840.0,2848.0,1930919.0,1951585.0
155,499200.0,216750000.0,68000000.0,21.859808,517.298523,65.750237,145.257278,2.30704,10.620864,9519.0,18420.0,904.0,1955190.0,1965251.0
156,499200.0,216750000.0,102000000.0,15.86224,502.690155,35.375774,130.515854,2.131488,7.056224,8388.0,17192.0,672.0,1966597.0,1975327.0
157,499200.0,216750000.0,204000000.0,7.98544,436.894592,15.997792,119.257019,0.7536,3.530432,7438.0,16480.0,360.0,1976239.0,1983856.0
158,499200.0,216750000.0,408000000.0,5.45376,468.143005,9.676416,116.071884,0.553632,2.4952,7227.0,16276.0,276.0,1984398.0,1991759.0
159,499200.0,216750000.0,665600000.0,4.379168,462.38858,8.323008,115.960724,0.432192,2.02992,7172.0,16175.999999999998,216.0,1992151.0,1999438.0
160,499200.0,216750000.0,800000000.0,4.077248,432.242401,7.546752,114.842194,0.40448,1.872192,7204.0,16132.000000000002,252.0,1999802.0,2007124.0
161,499200.0,216750000.0,1062400000.0,4.093792,431.4422,7.096608,113.730812,0.400448,1.746016,7030.0,16104.0,208.0,2007471.0,2014610.0
162,499200.0,216750000.0,1331200000.0,3.598048,460.346649,6.724384,114.520363,0.38336,1.821344,7102.0,16059.999999999998,244.0,2014944.0,2022152.0
163,499200.0,216750000.0,1600000000.0,3.320768,430.699829,7.07888,113.366837,0.37168,1.581248,7000.0,16032.0,244.0,2022478.0,2029580.0
164,499200.0,216750000.0,1866000000.0,3.52384,462.017181,6.118656,116.452484,0.750912,1.624192,7179.0,16064.0,212.0,2029901.0,2037183.0
165,499200.0,318750000.0,40800000.0,47.775711,709.122925,337.257355,260.752533,4.48864,22.306496,18531.0,30064.0,2752.0,2037530.0,2057470.0
166,499200.0,318750000.0,68000000.0,24.09952,484.988617,60.759838,146.887512,1.316672,10.128096,9729.0,18476.0,1052.0,2060207.0,2070491.0
